Folder,File,Mean_Recon_Error,Max_Recon_Error,Anomaly_Ratio
Valve1,0.csv,2.934896042066324,3.0529741447178593,1.0
Valve1,1.csv,3.0795736254918262,3.175644503419848,1.0
Valve1,2.csv,3.150813120668199,3.22157363796333,1.0
Valve1,3.csv,3.177715631213176,3.2283006218437684,1.0
Valve1,4.csv,3.187988526868751,3.2592640892231253,1.0
Valve1,5.csv,3.1782883901244245,3.2124441235340124,1.0
Valve1,6.csv,3.2121185388178746,3.2531268640659716,1.0
Valve1,7.csv,3.2059198374945135,3.258553219125228,1.0
Valve1,8.csv,3.2359200586291252,3.273396301863832,1.0
Valve1,9.csv,3.2539605809377923,3.311217012521727,1.0
Valve1,10.csv,3.2746593723342716,3.36307424373911,1.0
Valve1,11.csv,3.2843577548219782,3.3556244050497366,1.0
Valve1,12.csv,3.2877409881501607,3.383891373455331,1.0
Valve1,13.csv,3.3408093619112273,3.407159584485001,1.0
Valve1,14.csv,3.315180351472489,3.408559298730586,1.0
Valve1,15.csv,3.3382415048896634,3.4981601391269725,1.0
Valve2,0.csv,3.287862238349191,3.4317492409013837,1.0
Valve2,1.csv,3.328713798238258,3.3778242999422883,1.0
Valve2,2.csv,3.3291863409811695,3.397383913790301,1.0
Valve2,3.csv,3.324382063351362,3.403398294434503,1.0
Other,1.csv,1.6679104787831447,1.7339823803891965,1.0
Other,2.csv,1.5972596288876753,1.671027435781607,1.0
Other,3.csv,1.6190779888296072,1.679909020874291,1.0
Other,4.csv,1.6351559134312565,1.7093544391220317,1.0
Other,5.csv,1.3071175084865467,3.566270893137994,1.0
Other,6.csv,1.0491039972955558,3.3434979516289554,1.0
Other,7.csv,0.9320343043357866,3.3522182735086443,1.0
Other,8.csv,0.10414198891005054,0.263464107351757,1.0
Other,9.csv,1.1914351802021128,3.500968189642128,1.0
Other,10.csv,0.3733742879292035,0.5482454724035152,1.0
Other,11.csv,0.4930928800942001,0.5969952356402247,1.0
Other,12.csv,0.7775389911867694,1.9299101762030537,1.0
Other,13.csv,0.7048036566784329,1.9299101762030537,1.0
Other,14.csv,0.4202920160031985,0.7143888092133994,1.0
